<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,16/11/18,17:37,113150,113210,113130,113170,332
SPFB.RTS-12.18,1,16/11/18,17:38,113170,113210,113110,113180,471
SPFB.RTS-12.18,1,16/11/18,17:39,113180,113270,113170,113210,555
SPFB.RTS-12.18,1,16/11/18,17:40,113220,113300,113200,113200,650
SPFB.RTS-12.18,1,16/11/18,17:41,113190,113290,113180,113220,374
SPFB.RTS-12.18,1,16/11/18,17:42,113240,113350,113220,113310,587
SPFB.RTS-12.18,1,16/11/18,17:43,113300,113390,113270,113280,1090
SPFB.RTS-12.18,1,16/11/18,17:44,113270,113300,113240,113260,261
SPFB.RTS-12.18,1,16/11/18,17:45,113260,113290,113200,113290,418
SPFB.RTS-12.18,1,16/11/18,17:46,113300,113400,113280,113350,907
SPFB.RTS-12.18,1,16/11/18,17:47,113360,113400,113340,113350,656
SPFB.RTS-12.18,1,16/11/18,17:48,113360,113360,113170,113210,960
